username,artist,album,song,date
VikingIrishman,Paul and Storm,Opening Band,Six Guys Ten Teeth,14 Aug 2010 23:57
VikingIrishman,William Shatner,Has Been,Ideal Woman,14 Aug 2010 23:55
VikingIrishman,The Great Luke Ski,The Fump Vol. 10: July - August 2008,Battlestar Rhapsody,14 Aug 2010 23:50
VikingIrishman,Adam Sandler,They're All Gonna Laugh at You,The Buffoon and the Dean of Admissions,14 Aug 2010 23:47
VikingIrishman,Dan Bern,DAN BERN,Marilyn,14 Aug 2010 23:44
VikingIrishman,Rodney Carrington,Hangin' With Rodney,Letter To My Penis,14 Aug 2010 23:42
VikingIrishman,Jenny Owen Youngs,Transmitter Failure,Transmitter Failure,14 Aug 2010 23:37
VikingIrishman,Josh Woodward,The Simple Life,Ships,14 Aug 2010 23:35
VikingIrishman,Stephen Lynch,A Little Bit Special,Bitch,14 Aug 2010 23:34
VikingIrishman,Weird Al Yankovic,Poodle Hat,Couch Potato,14 Aug 2010 23:30
VikingIrishman,DarkMateria,[non-album tracks],Frame of Mind,14 Aug 2010 23:24
VikingIrishman,Flight of the Conchords,,Business Time,14 Aug 2010 23:20
VikingIrishman,Jonathan Coulton,Thing a Week I,Podsafe Christmas Song,14 Aug 2010 23:18
VikingIrishman,Da Vinci's Notebook,,The Gates - DaVinci's Notebook,14 Aug 2010 23:16
VikingIrishman,Paul and Storm,Opening Band,Opening Band,14 Aug 2010 23:12
VikingIrishman,Lemon Demon,Live From the Haunted Candle Shop,The Saga of You Confused Destroyer of Planets,14 Aug 2010 23:08
VikingIrishman,Stephen Lynch,Superhero,Down To The Old Pub Instead,14 Aug 2010 23:05
VikingIrishman,Daniel Tosh,True Stories I Made Up,Gaunt And Sexy (Album Version),14 Aug 2010 22:59
VikingIrishman,Ben Folds,Rockin' The Suburbs,Fired,14 Aug 2010 22:55
VikingIrishman,Allan Sherman,Allan Sherman Live!,When I'm In The Mood For Love (You're In The Mood for Herring) (Album Version),14 Aug 2010 22:53
VikingIrishman,Tenacious D,The Pick of Destiny,Beelzeboss (The Final Showdown),14 Aug 2010 22:47
VikingIrishman,William Shatner,Has Been,Has Been,14 Aug 2010 22:45
VikingIrishman,Hard 'n Phirm,Horses and Grasses,The Camping Song,14 Aug 2010 22:44
VikingIrishman,Jim's Big Ego,They're Everywhere!,Asshole,14 Aug 2010 22:40
VikingIrishman,Eric Idle,The Rutland Isles,Civil War (Comedy),14 Aug 2010 22:40
VikingIrishman,Bryan Bowers,Home Home on the Road,The Scotsman,14 Aug 2010 22:37
VikingIrishman,DarkMateria,[non-album tracks],The Picard Song,14 Aug 2010 22:32
VikingIrishman,Paul and Storm,The Fump Vol. 12: November - December 2008,The Captain's Wife's Lament,14 Aug 2010 22:26
VikingIrishman,Weird Al Yankovic,Poodle Hat,Angry White Boy Polka,14 Aug 2010 22:21
VikingIrishman,The Arrogant Worms,Live Bait,Me Like Hockey,14 Aug 2010 22:18
VikingIrishman,Da Vinci's Notebook,Brontosaurus,Another Irish Drinking Song,14 Aug 2010 22:14
VikingIrishman,Jonathan Coulton,Thing a Week Two,Curl,14 Aug 2010 22:11
VikingIrishman,Mother Love Bone,Mother Love Bone,This Is Shangrila,26 Jul 2010 05:24
VikingIrishman,Blind Melon,Nico,Soul One,26 Jul 2010 05:21
VikingIrishman,Temple of the Dog,Temple of the Dog,Call Me A Dog,26 Jul 2010 05:16
VikingIrishman,Institute,Distort Yourself,Wasteland,26 Jul 2010 05:11
VikingIrishman,Pearl Jam,Ten,Why Go,26 Jul 2010 05:08
VikingIrishman,Days of the New,Days Of The New II,Enemy,26 Jul 2010 05:03
VikingIrishman,Gavin Rossdale,Wanderlust,Love Remains The Same,26 Jul 2010 04:58
VikingIrishman,Bush,Sixteen Stone,Monkey,26 Jul 2010 04:54
VikingIrishman,Kylie Minogue,X,The One,25 Jul 2010 23:08
VikingIrishman,Ke$ha,TiK ToK,TiK ToK,25 Jul 2010 23:04
VikingIrishman,Lady Gaga,The Fame Monster,So Happy I Could Die,25 Jul 2010 23:00
VikingIrishman,Rihanna,NRJ Hit List 2010,Rude Boy,25 Jul 2010 22:56
VikingIrishman,Beyoncé,I Am...Sasha Fierce,Halo,25 Jul 2010 22:47
VikingIrishman,Leighton Meester,Somebody to Love,Somebody to Love,25 Jul 2010 22:44
VikingIrishman,Christina Aguilera,Bionic,Not Myself Tonight,25 Jul 2010 22:41
VikingIrishman,Heidi Montag,Heidi,Touch Me,25 Jul 2010 22:12
VikingIrishman,Rihanna,NRJ Hit List 2010,Rude Boy,25 Jul 2010 22:09
VikingIrishman,Eva Simons,Silly Boy,Silly Boy,25 Jul 2010 22:05
VikingIrishman,Ke$ha,Animal,Dinosaur,25 Jul 2010 22:02
VikingIrishman,Kylie Minogue,Fever,In Your Eyes,25 Jul 2010 21:59
VikingIrishman,Lady Gaga,The Fame,Boys Boys Boys,25 Jul 2010 21:55
VikingIrishman,Mogwai,5 Track Tour Single,Close Encounters,25 Jul 2010 10:40
VikingIrishman,Rosie Thomas,These Friends of Mine,Much Farther to Go,25 Jul 2010 10:34
VikingIrishman,City and Colour,Sometimes,Hello I'm In Delaware,25 Jul 2010 10:28
VikingIrishman,American Football,1999 - American Football,Stay Home,25 Jul 2010 10:20
VikingIrishman,Jack Johnson,Sleep Through The Static,Hope,25 Jul 2010 10:16
VikingIrishman,Michael Bublé,Michael Bublé (Christmas Limited Edition),The Way You Look Tonight,25 Jul 2010 10:11
VikingIrishman,Gary Stadler,,Garden of Dreams,25 Jul 2010 10:07
VikingIrishman,Barenaked Ladies,Everything to Everyone,Aluminum,25 Jul 2010 10:03
VikingIrishman,Imogen Heap,Ellipse,Between Sheets,25 Jul 2010 10:00
VikingIrishman,Priscilla Ahn,A Good Day,A Good Day (Morning Song),25 Jul 2010 09:56
VikingIrishman,The Cat Empire,So Many Nights,Panama,25 Jul 2010 09:53
VikingIrishman,David Nevue,The Last Waking Moment,The Gathering Fields,25 Jul 2010 09:49
VikingIrishman,Oren Lavie,The Opposite Side of the Sea,Her Morning Elegance,25 Jul 2010 09:45
VikingIrishman,Kings of Convenience,Riot on an Empty Street,Homesick,25 Jul 2010 09:42
VikingIrishman,Foo Fighters,The Colour and the Shape,My Hero,24 Jul 2010 23:50
VikingIrishman,Audioslave,Audioslave,Shadow on the Sun,24 Jul 2010 23:44
VikingIrishman,Incubus,Light Grenades,Anna Molly,24 Jul 2010 23:40
VikingIrishman,The Smashing Pumpkins,Siamese Dream,Today,24 Jul 2010 23:37
VikingIrishman,Bloodhound Gang,Hooray for Boobies,Take The Long Way Home,24 Jul 2010 23:34
VikingIrishman,Tenacious D,Tenacious D,One Note Song,24 Jul 2010 23:32
VikingIrishman,Weezer,Weezer (Blue),Buddy Holly,24 Jul 2010 23:29
VikingIrishman,Pearl Jam,Vs.,Daughter,24 Jul 2010 23:25
